Post_ID,Platform,Date_Posted,Content_Type,Post_Text,Media_Length,Engagement_Count,Likes,Comments
3718767900250503451,Instagram,2025-09-10 19:15:33,Video,just giving the people what they want 💗💞💓 #hollister #pinkpufferjacket #fauxfurhoodie #jackets #winter,5.316,99405,99171,234
3723725506106798081,Instagram,2025-09-17 15:24:53,Image,"respectfully, there are no better hoodies in the game than hollister feel good hoodies",,814,805,9
3722952267440995274,Instagram,2025-09-16 13:48:36,Image,"iconic softness wrapped in new colors, prints and y2k details ☁️ link in bio to shop hollister feel good hoodies and sweatpants",,955,936,19
3721000219023657668,Instagram,2025-09-13 21:10:14,Image,"a recap of our lake life getaway with some of our favs 

📸:
@elasesil
@alexandrarockson 
@latiaee 
@emiliajoyyy
@youqui 
@jelesikaa",,5572,5546,26
3720909955110152654,Instagram,2025-09-13 18:11:19,Video,"more styles, patterns and prints means more outfit options 👏",20.247,7076,7055,21
3720140387299239483,Instagram,2025-09-12 16:41:54,Image,"a pumpkin spice latte hates to see me coming 🍁

📸:
@jayddowney 
@elasesil 
@4rojoo 
@marcie.robledo 
@paigeesmithers 
@edilyperezz 
@seb.diaz4 
@izzybradburyyx 
@ahnnalea 
@roberttcollinss",,7014,6982,32
3719499370703250979,Instagram,2025-09-11 19:28:41,Video,kick it into sport mode and get this iconic @crocs collab before it’s gone ✨ shop matching sweats at hollisterco.com then get your crocs at crocs.com,10.38,6490,6446,44
3719438951418462443,Instagram,2025-09-11 17:30:57,Image,the limited-edition collab of your dreams just dropped into reality 💚☁️ shop matching sweats at hollisterco.com then get your @crocs at crocs.com before they're gone,,3573,3561,12
3718678593435213157,Instagram,2025-09-10 16:18:23,Video,school-approved options to pair with your low-rise denim ✔️,24.843,18316,18290,26
3718022349544388503,Instagram,2025-09-09 18:33:44,Image,trying to focus but i can’t stop thinking about all the fall outfits i want to wear,,13141,13107,34
3716439519114707452,Instagram,2025-09-07 14:10:02,Video,a world of cozy is soft launching september 9 online and in the hollister app ☁️ @crocs,8.752,19358,19260,98
3715996718807777540,Instagram,2025-09-06 23:29:10,Image,an unmatched atmosphere all weekend long 🧡 @texaslonghorns @twofriends @nataliejane @adriennunez,,1494,1467,27
3715869426505037154,Instagram,2025-09-06 19:16:16,Image,"met a longhorn, saved a cowboy. job well done 🤠 #hollisterpartner",,37,3,34
3715858444742929603,Instagram,2025-09-06 18:55:41,Image,"could never bench these looks 🤘🏈

📸:
@kashishlalmohammed
@_sarahjessa
@abbygshewmaker
@roriharmon
@sarahkgraves
@juddaashton
@jay_mayya
@aydenames
@rella_binney
@ramseygary_32
@nyabunton
@asiaabella 
@ashton.maloney
@katie.stewart20
@kay.henry__",,2449,2406,43
3715031286303104700,Instagram,2025-09-05 15:31:42,Image,teaming up with the @texaslonghorns for game day 🤘⬆️ link in bio to hook these exclusive graphics or find more teams,,1435,1429,6
3714486956643488834,Instagram,2025-09-04 21:30:52,Video,one thing you can predict for saturday is an outfit win 🏈🍂 link in bio to find your team,11.818,2785,2769,16
3714416629607490463,Instagram,2025-09-04 19:10:18,Video,back-to-school shopping round 2? 👉👈,28.28,36719,36673,46
3714354485926990254,Instagram,2025-09-04 17:06:51,Video,built-in shorts and pockets that fit your phone are literal game changers 💐,14.767,19756,19684,72
3713745945399030425,Instagram,2025-09-03 20:57:17,Image,football games and spirit week just got a whole lot cuter,,3713,3709,4
3713669450051806791,Instagram,2025-09-03 18:26:31,Video,the fall girlies are defrosting 🧺🍂☕📖,19.016,21351,21315,36
